BST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees
2011-6-1,21,13,7,10,6,3,82,55,33,1031,1029,1027,10,10,10,16,6,,0.00,1,,258
2011-6-2,21,14,9,12,10,7,88,66,49,1033,1033,1031,10,10,10,21,8,,0.00,3,,48
2011-6-3,22,17,12,13,12,10,94,69,53,1033,1029,1026,10,10,8,27,16,,0.00,1,,37
2011-6-4,24,18,12,14,12,9,88,64,44,1025,1020,1016,10,10,9,37,16,47,0.00,2,,22
2011-6-5,18,14,12,12,11,9,88,77,63,1015,1010,1006,10,10,6,24,18,,0.00,3,Rain,33
2011-6-6,14,11,9,10,8,7,94,81,67,1005,1005,1004,10,9,5,14,8,,0.00,6,Rain,311
2011-6-7,19,16,11,10,8,5,82,61,40,1005,1003,1002,10,10,9,27,14,,0.00,1,,202
2011-6-8,19,13,8,9,7,6,87,65,46,1009,1005,1004,10,10,10,35,19,42,0.00,2,Rain,220
2011-6-9,17,13,9,10,7,6,82,67,48,1014,1012,1009,10,10,10,24,13,,0.00,2,Rain,222
2011-6-10,14,11,8,8,7,5,87,73,55,1014,1014,1013,10,10,5,14,6,34,0.00,2,Rain-Thunderstorm,215
2011-6-11,18,12,7,8,6,2,87,69,34,1017,1015,1013,10,10,10,26,8,,0.00,2,Rain-Thunderstorm,247
2011-6-12,15,11,8,12,8,5,94,77,63,1017,1014,1008,10,9,6,32,14,45,0.00,3,Rain,185
2011-6-13,23,18,13,14,12,9,88,69,53,1016,1011,1008,10,10,10,29,19,,0.00,4,,239
2011-6-14,20,15,10,12,10,7,82,64,49,1019,1018,1016,10,10,10,19,8,,0.00,1,,101
2011-6-15,21,17,14,15,13,10,94,74,60,1016,1014,1011,10,10,7,27,13,,0.00,3,Rain,217
2011-6-16,17,14,11,13,11,7,88,76,55,1012,1010,1008,10,10,9,29,16,,0.00,2,Rain,233
2011-6-17,16,13,10,12,10,8,88,82,67,1012,1005,994,10,9,5,27,14,37,0.00,4,Rain,170
2011-6-18,17,13,11,11,9,7,88,74,52,1004,1000,995,10,10,10,35,24,55,0.00,3,Rain,238
2011-6-19,19,14,11,9,8,7,82,64,46,1013,1010,1004,10,10,10,32,23,,0.00,1,Rain,253
2011-6-20,19,13,8,14,11,7,94,80,64,1013,1011,1009,10,10,4,13,6,,0.00,3,Rain,157
2011-6-21,21,18,14,14,12,8,94,70,52,1010,1009,1008,10,10,10,37,21,52,0.00,2,,217
2011-6-22,18,14,12,12,11,3,88,73,45,1010,1008,1007,10,10,7,42,21,50,0.00,2,Rain,217
2011-6-23,19,14,11,11,8,6,88,65,46,1018,1014,1011,10,10,10,34,18,45,0.00,1,Rain,258
2011-6-24,19,14,10,10,8,5,88,64,40,1023,1021,1019,10,10,10,27,13,26,0.00,2,Rain,254
2011-6-25,24,17,11,16,14,9,94,78,57,1022,1020,1018,10,9,4,34,18,39,0.00,4,Rain,235
2011-6-26,26,19,13,19,16,12,94,78,65,1022,1020,1017,10,9,5,16,6,,0.00,2,,119
2011-6-27,32,24,17,19,17,1,94,61,15,1017,1013,1011,9,5,5,26,8,,0.00,,,172
2011-6-28,26,20,15,19,16,13,94,82,65,1016,1013,1012,10,9,4,26,8,,0.00,4,Rain-Thunderstorm,330
2011-6-29,21,16,11,13,8,5,88,57,37,1023,1021,1017,10,10,10,24,13,,0.00,1,,296
2011-6-30,20,15,10,9,7,5,82,57,40,1024,1024,1023,10,10,10,23,10,,0.00,1,,295